"","Street","City","State.Code","Zip.Code"
"1","53-14 108TH STREET","CORONA","NY",11368
"2","1007 BRIGHTON BEACH AVE","BROOKLYN","NY",11235
"3","42 LAKE ST","WHITE PLAINS","NY",10603
"4","1010 UNION CENTER HWY#","ENDICOTT","NY",13760
"5","425 STATE RT 208","MONROE","NY",10950
"6","222 HOYT ST","BROOKLYN","NY",11217
"7","285 CANADA ST","LAKE GEORGE","NY",12845
"8","77 PLEASANT ST","MONTICELLO","NY",12701
"9","410 AVENUE OF THE AMERICAS","NEW YORK","NY",10011
"10","219 BRIGHTON BEACH AVE","BROOKLYN","NY",11235
"11","412 E 83RD ST","BROOKLYN","NY",11236
"12","8014 RT 289 #","BELLEVILLE","NY",13611
"13","601 S TRANSIT RD #","LOCKPORT","NY",14094
"14","3942 ST RT 31","CLAY","NY",13090
"15","1049 PARK ST","PEEKSKILL","NY",10566
"16","150 COUNTY ROUTE 11A","LAURENS","NY",13796
"17","209 UNION AVE","NEW ROCHELLE","NY",10801
"18","249 W 231ST ST","BRONX","NY",10463
"19","22 W LINCOLN AVE","MOUNT VERNON","NY",10550
"20","132 CONNETQUOT AVE","EAST ISLIP","NY",11730
"21","650 HYLAN DR","ROCHESTER","NY",14623
"22","815 W 181ST ST","NEW YORK","NY",10033
"23","75 9TH AVE","NEW YORK","NY",10011
"24","204 LIBERTY ST","PENN YAN","NY",14527
"25","73-15 MAIN STREET","FLUSHING","NY",11367
"26","13075 MAIN ST","FINDLEY LAKE","NY",14736
"27","72-14 MAIN ST","FLUSHING","NY",11367
"28","2406 ROUTE 44","SALT POINT","NY",12578
"29","324 JACKSON AVE","SYOSSET","NY",11791
"30","1497 WILLIAMS BRIDGE RD","BRONX","NY",10461
"31","685 ALLERTON AVE","BRONX","NY",10467
"32","990 LEGGETT AVE","BRONX","NY",10455
"33","2050 WESTERN AVE","GUILDERLAND","NY",12084
"34","62-64 SEABRING ST","BROOKLYN","NY",11231
"35","1576 1ST AVE","NEW YORK","NY",10028
"36","2 S PAGE AVE","ENDICOTT","NY",13760
"37","89 E 42ND STREET","NEW YORK","NY",10017
"38","421 BRIGHTON BEACH AVE","BROOKLYN","NY",11235
"39","94-01 ROOSEVELT AVE","JACKSON HEIGHTS","NY",11372
"40","1718 SOUTHERN BLVD #","BRONX","NY",10460
"41","27 COLUMBUS AVE","NEW YORK","NY",10023
"42","3205 STATE RT 12","PORT LEYDEN","NY",13433
"43","52 MARION AVE","SARATOGA SPRINGS","NY",12866
"44","100-120 BRIGHTON BEACH AVE","BROOKLYN","NY",11235
"45","29-09 A QUEENS PLAZA NORTH","LONG ISLAND CITY","NY",11101
"46","195-197 HAVERMEYER","BROOKLYN","NY",11211
"47","360 STATE RT 10 & 8","DEPOSIT","NY",13754
"48","420 S BROADWAY","YONKERS","NY",10705
"49","97-18 57TH AVENUE","ELMHURST","NY",11373
"50","4406 STATE RT 5 #","CANANDAIGUA","NY",14424
"51","55 UNION RD SUITE 100","SPRING VALLEY","NY",10977
"52","79-20 ROOSEVELT AVENUE","JACKSON HEIGHTS","NY",11372
"53","500 MEDLEY CENTER","ROCHESTER","NY",14622
"54","635 DUTCHESS TURNPIKE#","POUGHKEEPSIE","NY",12603
"55","121 WEST 116TH ST #","NEW YORK","NY",10026
"56","324 GRAND CENTRAL, STALL#24 #","NEW YORK","NY",10017
"57","35 KENNEDY DR","SPRING VALLEY","NY",10977
"58","1000 OLD NICHOLS RD","HAUPPAUGE","NY",11788
"59","126-02 101ST AVE","RICHMOND HILL","NY",11419
"60","4662 COUNTY RTE 82","WOODHULL","NY",14898
"61","680 STATE HWY 7","UNADILLA","NY",13849
"62","7774 NY 434","APALACHIN","NY",13732
"63","620 MONTAUK HWY #","EAST MORICHES","NY",11940
"64","701 BEDFORD AVE","BROOKLYN","NY",11206
"65","350 E FAIRMOUNT AVE","LAKEWOOD","NY",14750
"66","1221 FTELEY AVE","BRONX","NY",10472
"67","ROUTE 3 & ROUTE 812","HARRISVILLE","NY",13648
"68","2100 2ND AVENUE","NEW YORK","NY",10029
"69","105-15 177TH STREET","JAMAICA","NY",11433
"70","915 BROADWAY","BROOKLYN","NY",11206
"71","309A CENTRAL AVE","ALBANY","NY",12206
"72","445 ALBEE SQUARE WEST UNIT E-33 #","BROOKLYN","NY",11201
"73","499 W KLEIN RD #","WILLIAMSVILLE","NY",14221
"74","4 PRESTON HILL RD","CAMDEN","NY",13316
"75","PO BOX 158 6081 ST RT 11","CHATEAUGAY","NY",12920
"76","2675-2715 UNION RD  #","CHEEKTOWAGA","NY",14227
"77","630 E 169TH ST","BRONX","NY",10456
"78","MILE PST 336 NYS THRUWAY E #","CLIFTON SPRINGS","NY",14432
"79","437 MANHATTAN AVE","NEW YORK","NY",10026
"80","5605 METROPOLITAN AVE","RIDGEWOOD","NY",11385
"81","2864 ROUTE 42","FINDLEY LAKE","NY",14736
"82","1032 WEST AVE","BUFFALO","NY",14213
"83","217 BETHPAGE RD","HICKSVILLE","NY",11801
"84","1455 LAKE AVE CORN FLOWER CITY PK","ROCHESTER","NY",14615
"85","305 MONTAWK HWY","SPEONK","NY",11972
"86","960 MAIN STREET","HOLBROOK","NY",11741
"87","361 E 49TH ST","NEW YORK","NY",10017
"88","RT 14A WINDMILL BOX 709 #","PENN YAN","NY",14527
"89","2148 WESTCHESTER AVE","BRONX","NY",10462
"90","3114A CTY RT 6","HAMMOND","NY",13646
"91","205-09 35TH AVENUE","BAYSIDE","NY",11361
"92","2475 DELAWARE TPK (RT 443)","VOORHEESVILLE","NY",12186
"93","7702 5TH AVE","BROOKLYN","NY",11209
"94","685 LAKE ST RT 425","WILSON","NY",14172
"95","196-19B LINDEN BLVD","ST ALBANS","NY",11412
"96","737 BUTTERNUT ST","SYRACUSE","NY",13208
"97","164 KENT AVE","BROOKLYN","NY",11249
"98","1879 EAST MAIN ST #10","PEEKSKILL","NY",10566
"99","941 CRANE ST","SCHENECTADY","NY",12303
"100","476 6TH AVENUE","NEW YORK","NY",10011
"101","199 CENTRAL MUNCHIES LLC","ALBANY","NY",12206
"102","RT 9W FAITH PLAZA","RAVENA","NY",12143
"103","3513 BROADWAY","NEW YORK","NY",10031
"104","667 E 187TH ST","BRONX","NY",10458
"105","3411 DANBURY RD","BREWSTER","NY",10509
"106","4067 1/2 BROADWAY","NEW YORK","NY",10032
"107","2645 WEBSTER AVENUE","BRONX","NY",10458
"108","202 STONE AVE","BROOKLYN","NY",11233
"109","271 BURNSIDE AVE","LAWRENCE","NY",11559
"110","65-42 WOODSIDE AVE","WOODSIDE","NY",11377
"111","61 PIKE ST","PORT JERVIS","NY",12771
"112","67 PRINCE STREET","NEW YORK","NY",10012
"113","3707 ROUTE 30","AMSTERDAM","NY",12010
"114","1036 RUTLAND RD","BROOKLYN","NY",11212
"115","155-02 107TH AVE","JAMAICA","NY",11433
"116","3488 JEROME AVE","BRONX","NY",10467
"117","1384 1ST AVE","NEW YORK","NY",10021
"118","90 FORESTBURGH RD","MONTICELLO","NY",12701
"119","67 E 18TH STREET","BROOKLYN","NY",11226
"120","426-432 E 91 ST","NEW YORK","NY",10128
"121","115 GAME RD","SYRACUSE","NY",13210
"122","1747 FULTON ST","BROOKLYN","NY",11233
"123","4390 RT 37","MALONE","NY",12953
"124","182-06 UNION TRNPKE","FRESH MEADOWS","NY",11366
"125","67 HERTEL","BUFFALO","NY",14207
"126","99 JOHN ST","NEW YORK","NY",10038
"127","98-20 41ST AVE","CORONA","NY",11368
"128","3295 RICHMOND AVE","STATEN ISLAND","NY",10312
"129","2023 SEVENTH AVE","NEW YORK","NY",10027
"130","2118 MAGNOLIA AVE #","ASHVILLE","NY",14710
"131","2 E MAIN ST#","CANISTEO","NY",14823
"132","COUNTY ROUTE 25","ANTWERP","NY",13608
"133","491 BROOKTONDALE RD","BROOKTONDALE","NY",14817
"134","608 NEW LOTS AVENUE","BROOKLYN","NY",11207
"135","94-01 ROOSEVELT AVE","JACKSON HEIGHTS","NY",11372
"136","39 HOLLAND AVE","LACKAWANNA","NY",14218
"137","55-57 AVENUE D","NEW YORK","NY",10009
"138","1040 SHERMAN AVE","BRONX","NY",10456
"139","36 E BROADWAY","NEW YORK","NY",10002
"140","21 CTY RTE 115 #","LINDLEY","NY",14858
"141","281-285 BRIGHTON BEACH AVENUE","BROOKLYN","NY",11235
"142","89 DEER PARK AVE","BABYLON","NY",11702
"143","360 MALCOLM X BLVD","BROOKLYN","NY",11233
"144","92-02 37TH AVE","JACKSON HEIGHTS","NY",11372
"145","2045 FOREST AVE#","STATEN ISLAND","NY",10303
"146","545 MIDDLE RD","ESSEX","NY",12936
"147","2675-2715 UNION RD  #","CHEEKTOWAGA","NY",14227
"148","502 CLARKSON AVE","BROOKLYN","NY",11203
"149","1318 LAFAYETTE AVE STORE 1-2-3","BRONX","NY",10474
"150","1103 DANBY RD #","ITHACA","NY",14850
"151","3202 AMPERE AVE","BRONX","NY",10465
"152","3 N CHESTNUT ST #","NEW PALTZ","NY",12561
"153","9 HENSHAW ST #","NEW YORK","NY",10034
"154","1301 CHURCH AVE","BROOKLYN","NY",11226
"155","6531 COWIE RD","WYOMING","NY",14591
"156","3605 SHERIDAN DR","AMHERST","NY",14226
"157","352 W 52ND ST","NEW YORK","NY",10019
"158","760 GRAND CONCOURSE","BRONX","NY",10451
"159","2704 THIRD AVE","BRONX","NY",10454
"160","164 VICTORY BLVD","STATEN ISLAND","NY",10301
"161","239 LEE AVE #","BROOKLYN","NY",11211
"162","2 ST. ANN'S AVENUE","BRONX","NY",10454
"163","3040-44 EASTCHESTER RD","BRONX","NY",10469
"164","ATT MARK BATES 1405 OLDE RD","CLYMER","NY",14724
"165","2289 FILLMORE AVE","BUFFALO","NY",14214
"166","2 ST. ANN'S AVENUE","BRONX","NY",10454
"167","1936 NEW SCOTLAND RD","SLINGERLANDS","NY",12159
"168","2170 WESTCHESTER AVE","BRONX","NY",10462
"169","2131 BROADWAY #","NEW YORK","NY",10023
"170","798 MAIN ST PO BOX 288","MARGARETVILLE","NY",12455
"171","999 BROADWAY # STAND 12","BUFFALO","NY",14212
"172","2890 JEROME AVENUE","BRONX","NY",10468
"173","4008 76TH ST","ELMHURST","NY",11373
"174","21 MAIN STREET","ARKPORT","NY",14807
"175","3942 S PARK & MILESTRIP","BUFFALO","NY",14219
"176","999 BROADWAY","BUFFALO","NY",14212
"177","817 LAKE AVE","ROCHESTER","NY",14613
"178","5106 12TH AVE","BROOKLYN","NY",11219
"179","2330 WATT ST","SCHENECTADY","NY",12304
"180","277 E 198TH ST","BRONX","NY",10458
"181","9025 43RD AVENUE","ELMHURST","NY",11373
"182","1822 NIAGARA ST","NIAGARA FALLS","NY",14303
"183","1775 N CLINTON AVE","ROCHESTER","NY",14621
"184","424 6TH AVE","NEW YORK","NY",10011
"185","309 BRIGHTON AVE","BROOKLYN","NY",11235
"186","352 JAY ST","ROCHESTER","NY",14611
"187","409 COMMERCE DR","VICTOR","NY",14564
"188","988 1ST AVE #","NEW YORK","NY",10022
"189","266 QUAKER RD","QUEENSBURY","NY",12804
"190","11776 RT 9W","COXSACKIE","NY",12051
"191","651 DICK RD","DEPEW","NY",14043
"192","610 STATE ST","WATERTOWN","NY",13601
"193","212 MINEOLA AVE","ROSLYN HEIGHTS","NY",11577
"194","BOX 14 RT 73","KEENE","NY",12942
"195","3430 JEROME AVE","BRONX","NY",10467
"196","1373 BAY ST","STATEN ISLAND","NY",10305
"197","1 NORTH BROAD STREET #","CARTHAGE","NY",13619
"198","65-01 BAY PKWY GRD 1B #","BROOKLYN","NY",11204
"199","1548 MADISON AVE","NEW YORK","NY",10029
"200","639 W CHURCH ST","ELMIRA","NY",14905
"201","1720 E CHESTER RD","BRONX","NY",10461
"202","50 LAKE STREET","WHITE PLAINS","NY",10603
"203","4823 CHURCH AVE","BROOKLYN","NY",11203
"204","350 E GUN HILL RD","BRONX","NY",10467
"205","706 4TH AVE","BROOKLYN","NY",11232
"206","2151 2ND AVE","NEW YORK","NY",10029
"207","297 BROOK AVE","BRONX","NY",10454
"208","2918 DEWEY AVENUE #","ROCHESTER","NY",14616
"209","721 BURKE AVE","BRONX","NY",10467
"210","1346 PENNSYLVANIA AVE","BROOKLYN","NY",11239
"211","809 RT 3","PLATTSBURGH","NY",12901
"212","100 CLARA BARTON ST","DANSVILLE","NY",14437
"213","275 EAST KINGSBRIDGE RD#","BRONX","NY",10458
"214","5816 7TH AVE","BROOKLYN","NY",11220
"215","1205 AVENUE M","BROOKLYN","NY",11230
"216","427 JERSEY ST","STATEN ISLAND","NY",10301
"217","672 STATE ST","WATERTOWN","NY",13601
"218","363 SUTTER AVE","BROOKLYN","NY",11212
"219","431-433 E 91ST ST #","NEW YORK","NY",10128
"220","844 DEKALB AVE","BROOKLYN","NY",11221
"221","101 NASSAU AVE","BROOKLYN","NY",11222
"222","4644 ROME TABERG RD","TABERG","NY",13471
"223","3821 ROME RD & NY RT 31","PULASKI","NY",13142
"224","819 MAIN STREET","NEW ROCHELLE","NY",10801
"225","2392 ARTHUR AVE","BRONX","NY",10458
"226","83 02 ATLANTIC AVE#","OZONE PARK","NY",11416
"227","66 BEACH CHANNEL DR","ARVERNE","NY",11692
"228","1265 E STATE RD RT 392","CORTLAND","NY",13045
"229","6424 20TH AVE","BROOKLYN","NY",11204
"230","3740 COUNTY RTE 14","MADRID","NY",13660
"231","293 BROADWAY","BROOKLYN","NY",11211
"232","199 1/2 IRVING AVE","PORT CHESTER","NY",10573
"233","2035 NEW YORK AVE","HUNTINGTON STATION","NY",11746
"234","300 EAST MAIN ST","EAST ISLIP","NY",11730
"235","1622 AMSTERDAM AVE","NEW YORK","NY",10031
"236","2030 ALBANY POST RD","CROTON ON HUDSON","NY",10520
"237","210 PARK ST","SYRACUSE","NY",13203
"238","9169 BUFFALO ALBANY RD#","WEST BLOOMFIELD","NY",14585
"239","227A NASSAU AVE","BROOKLYN","NY",11222
"240","1421 NOSTRAND AVE","BROOKLYN","NY",11226
"241","758 W 181ST ST","NEW YORK","NY",10033
"242","364 RT 29  #","GREENWICH","NY",12834
"243","13 NEWPORT STREET1","BROOKLYN","NY",11212
"244","12773 RT 38 PO BOX 162","BERKSHIRE","NY",13736
"245","661 RIVER ROAD","SCHENECTADY","NY",12306
"246","751 FOREST AVE","BRONX","NY",10456
"247","4671 STE HWY 68","OGDENSBURG","NY",13669
"248","2116 UNION BLVD","BAY SHORE","NY",11706
"249","1683 1ST AVE","NEW YORK","NY",10128
"250","23 RT 303","TAPPAN","NY",10983
"251","3031 EAST AVE RTE 49","CENTRAL SQUARE","NY",13036
"252","204 MOHAWK AVE","SCOTIA","NY",12302
"253","228 BROOK AVE","BRONX","NY",10454
"254","33-14 30TH AVE","ASTORIA","NY",11103
"255","5062 69TH STREET","WOODSIDE","NY",11377
"256","72 GRACE CHURCH STREET","PORT CHESTER","NY",10573
"257","185-02 UNION TPKE #1","FRESH MEADOWS","NY",11366
"258","35 MAIN ST","CAMDEN","NY",13316
"259","455 MAIN ST","BOLIVAR","NY",14715
