"","Street","City","State.Code","Zip.Code"
"111","4300 VETERANS MEMORIAL DR","BATAVIA","NY",14020
"112","39 HOLLAND AVE","LACKAWANNA","NY",14218
"113","746 ELMWOOD AVE #","BUFFALO","NY",14222
"114","1333 GENESEE ST","BUFFALO","NY",14211
"115","203 PARKSIDE AVE","BROOKLYN","NY",11226
"116","4250 MCKINLEY PKWY","HAMBURG","NY",14075
"117","1932 CHURCH AVE","BROOKLYN","NY",11226
"118","1558 E DELAVAN AVE","BUFFALO","NY",14215
"119","342 MAIN ST","CATSKILL","NY",12414
"120","563 E MAIN ST","BATAVIA","NY",14020
"121","90 W MAIN ST #","ILION","NY",13357
"122","5017 AVENUE N","BROOKLYN","NY",11234
"123","21 MANHATTAN AVE","BROOKLYN","NY",11206
"124","108 LAKE ST #","HAMBURG","NY",14075
"125","500 DUKE RD","CHEEKTOWAGA","NY",14225
"126","274 MORGAN AVE #B14","BROOKLYN","NY",11211
"127","73 DECATUR ST","BROOKLYN","NY",11216
"128","9160 MAIN ST","CLARENCE","NY",14031
"129","382 MCDONALD AVE #","BROOKLYN","NY",11218
"130","1275 JEFFERSON AVE","BUFFALO","NY",14208
"131","7818 13TH AVE","BROOKLYN","NY",11228
"132","3625 ORCHARD PARK RD","ORCHARD PARK","NY",14127
"133","19 CENTRAL AVE","CATSKILL","NY",12414
"134","5240 CLINTON ST","ELMA","NY",14059
"135","3740 S  MCKINLEY PKWY","BLASDELL","NY",14219
"136","81 BUELL ST","AKRON","NY",14001
"137","1328 ABBOTT RD","LACKAWANNA","NY",14218
"138","2053 PITKIN AVE","BROOKLYN","NY",11207
"139","2097 SENECA ST","BUFFALO","NY",14210
"140","308 PATCHEN AVENUE","BROOKLYN","NY",11233
"141","999 BROADWAY ST","BUFFALO","NY",14212
"142","543 EVERGREEN AVE","BROOKLYN","NY",11221
"143","591 FARGO AVE","BUFFALO","NY",14213
"144","2130 GRAND ISLAND BLVD","GRAND ISLAND","NY",14072
"145","4113 4TH AVENUE","BROOKLYN","NY",11232
"146","104 E KIRBY ST #","DEXTER","NY",13634
"147","3845 WEST MAIN STREET","BATAVIA","NY",14020
"148","1410 86TH ST","BROOKLYN","NY",11228
"149","502 49TH ST","BROOKLYN","NY",11220
"150","1377 MADISON STREET","BROOKLYN","NY",11237
"151","1547 HERTEL AVE","BUFFALO","NY",14216
"152","1655 STATE ST","WATERTOWN","NY",13601
"153","133 6TH AVE","BROOKLYN","NY",11217
"154","398 DINGENS ST#","BUFFALO","NY",14206
"155","860 WALDEN AVE","BUFFALO","NY",14211
"156","2727 CROPSEY AVE","BROOKLYN","NY",11214
"157","1752 SHORE PKWY #","BROOKLYN","NY",11214
"158","1729 STATE ST","WATERTOWN","NY",13601
"159","7324 6TH AVE","BROOKLYN","NY",11209
"160","231 RIVER RD #","SCHROON LAKE","NY",12870
"161","484 UNION AVE #","BROOKLYN","NY",11211
"162","5360 SOUTHWESTERN BLVD","HAMBURG","NY",14075
"163","296 WILLOUGHBY AVE","BROOKLYN","NY",11205
"164","270 ELM ST","MALONE","NY",12953
"165","245 ONTARIO ST","BUFFALO","NY",14207
"166","117 ROGERS AVE","BROOKLYN","NY",11216
"167","785 GRAND ST","BROOKLYN","NY",11211
"168","1498 FLATBUSH AVE #","BROOKLYN","NY",11210
"169","5503 17TH AVE","BROOKLYN","NY",11204
"170","8484 ALLEGHENY RD","CORFU","NY",14036
"171","3701 MCKINLEY PKWY #828 #","BLASDELL","NY",14219
"172","1585 WALDEN AVE","CHEEKTOWAGA","NY",14225
"173","550 TONAWANDA ST","BUFFALO","NY",14207
"174","545 MARCY AVE","BROOKLYN","NY",11206
"175","1510 SHEEPSHEAD BAY RD","BROOKLYN","NY",11235
"176","6177 W QUAKER ST","ORCHARD PARK","NY",14127
"177","261 W FULTON ST","GLOVERSVILLE","NY",12078
"178","2305 UNION RD","WEST SENECA","NY",14224
"179","2140 GRAND ISLAND BLVD","GRAND ISLAND","NY",14072
"180","6640 CLINTON ST","ELMA","NY",14059
"181","1310 FLATBUSH AVE","BROOKLYN","NY",11210
"182","261 FRANKLIN ST","WATERTOWN","NY",13601
"183","273 KINGSTON AVE","BROOKLYN","NY",11213
"184","2183 GENESEE ST","BUFFALO","NY",14211
"185","49 KINGSLAND AVE","BROOKLYN","NY",11211
"186","26117 KRING POINT RD","REDWOOD","NY",13679
"187","2351 MAPLE RD","WILLIAMSVILLE","NY",14221
"188","291 MAIN ST#","CATSKILL","NY",12414
"189","2043 KENSINGTON AVE","AMHERST","NY",14226
"190","4152 W MAIN ST RD","BATAVIA","NY",14020
"191","1770 SENECA ST","BUFFALO","NY",14210
"192","2317 CONEY ISLAND AVE","BROOKLYN","NY",11223
"193","751 BERGEN ST","BROOKLYN","NY",11238
"194","2904 STILLWELL AVE#","BROOKLYN","NY",11224
"195","599 WALDEN AVE","BUFFALO","NY",14211
"196","490 CONNECTICUT ST","BUFFALO","NY",14213
"197","4007 BLUE RIDGE RD","NORTH HUDSON","NY",12855
"198","1044 GRANT ST","BUFFALO","NY",14207
"199","503 STATE ST","CLAYTON","NY",13624
"200","9257 4TH AVE","BROOKLYN","NY",11209
"201","8404 FLATLANDS AVE","BROOKLYN","NY",11236
"202","9105 3RD AVE    #","BROOKLYN","NY",11209
"203","210 CLARKSON AVE","BROOKLYN","NY",11226
"204","519 UTICA AVE","BROOKLYN","NY",11203
"205","2272 BATH AVE","BROOKLYN","NY",11214
"206","286 BRIDGE RD","CROWN POINT","NY",12928
"207","587 EAST MAIN ST  SUITE 200","BATAVIA","NY",14020
"208","1251 SUTTER AVE","BROOKLYN","NY",11208
"209","154 BEDFORD AVE","BROOKLYN","NY",11249
"210","941 NIAGARA ST","BUFFALO","NY",14213
"211","1588 GENESEE STREET","BUFFALO","NY",14211
"212","595 ONTARIO ST","BUFFALO","NY",14207
"213","109 MONTCALM ST #","TICONDEROGA","NY",12883
"214","133-35 AVENUE U#","BROOKLYN","NY",11223
"215","671 MAIN ST #","EAST AURORA","NY",14052
"216","4003 CHURCH AVE","BROOKLYN","NY",11203
"217","265 BEDFORD AVENUE","BROOKLYN","NY",11211
"218","100 RIVER ROCK DR #","BUFFALO","NY",14207
"219","625 E MAIN ST#","LITTLE FALLS","NY",13365
"220","279 VIRGINIA ST","BUFFALO","NY",14201
"221","113 RAYMOND ST","MALONE","NY",12953
"222","1 E MAIN ST","JOHNSTOWN","NY",12095
"223","6199 SOUTH PARK AVE","HAMBURG","NY",14075
"224","2465 MAIN ST  #","LAKE PLACID","NY",12946
"225","6122 4TH AVE","BROOKLYN","NY",11220
"226","8 W MAIN ST","LEROY","NY",14482
"227","76 S MAIN ST","GLOVERSVILLE","NY",12078
"228","684 LASALLE AVE","BUFFALO","NY",14215
"229","407 WILSON AVENUE","BROOKLYN","NY",11221
"230","2320 GRAND ISLAND BLVD","GRAND ISLAND","NY",14072
"231","1702 NEPTUNE AVE #","BROOKLYN","NY",11224
"232","127 GRANT STREET","BUFFALO","NY",14213
"233","615 LAKE FLOWER AVE #","SARANAC LAKE","NY",12983
"234","439 5TH AVE","BROOKLYN","NY",11215
"235","151 W MAIN ST","LEROY","NY",14482
"236","4133 VETERANS MEMORIAL DR","BATAVIA","NY",14020
"237","816 BRADLEY ST","WATERTOWN","NY",13601
"238","4050 N BUFFALO RD","ORCHARD PARK","NY",14127
"239","501 HURRICANE ROAD","KEENE","NY",12942
"240","519 ALBANY AVENUE","BROOKLYN","NY",11203
"241","567 JEFFERSON AVE","BROOKLYN","NY",11221
"242","1241 E LOVEJOY STREET","BUFFALO","NY",14206
"243","3208 MAIN ST","BUFFALO","NY",14214
"244","472 MAIN ST","BUFFALO","NY",14202
"245","3187 BLUE RIDGE RD","NORTH HUDSON","NY",12855
"246","5802 13TH AVE","BROOKLYN","NY",11219
"247","1236 MAIN ST RT 30 #","LONG LAKE","NY",12847
"248","56 E SPRING ST","BUFFALO","NY",14221
"249","3701 MCKINLEY PKWY","BLASDELL","NY",14219
"250","1163 UTICA AVE  STORE #1","BROOKLYN","NY",11203
"251","36 WAWBEEK AVE","TUPPER LAKE","NY",12986
"252","1283 ARSENAL ST & RT 81 #","WATERTOWN","NY",13601
"253","21856 TOWN CENTER DR","WATERTOWN","NY",13601
"254","74 ASGAARD WAY #","AUSABLE FORKS","NY",12912
"255","235 5TH AVE EXT #","GLOVERSVILLE","NY",12078
"256","1142 MAIN ST #","LONG LAKE","NY",12847
"257","1306 ATLANTIC AVE","BROOKLYN","NY",11216
