"","Street","City","State.Code","Zip.Code"
"1","3731 RT 9W","HIGHLAND","NY",12528
"2","1043 MANHATTAN AVE","BROOKLYN","NY",11222
"3","200 GRAND AVE","JOHNSON CITY","NY",13790
"4","3341 FULTON STREET","BROOKLYN","NY",11208
"5","1634 EASTERN PKWY","BROOKLYN","NY",11233
"6","3923 CHURCH AVE","BROOKLYN","NY",11203
"7","136 N ALLEN ST","ALBANY","NY",12206
"8","703 SOUTHERN BLVD","BRONX","NY",10455
"9","3430 JEROME AVE","BRONX","NY",10467
"10","2290 FREDERICK DOUGLAS BLVD","NEW YORK","NY",10027
"11","105 EAST CLARKE PLACE","BRONX","NY",10452
"12","13 N ROUTE 303","CONGERS","NY",10920
"13","1742 FLATBUSH AVE","BROOKLYN","NY",11210
"14","25 E GUN HILL RD","BRONX","NY",10467
"15","27 LAFAYETTE AVE","SUFFERN","NY",10901
"16","3098 ORCHARD PARK RD#","ORCHARD PARK","NY",14127
"17","1016 CULVER RD","ROCHESTER","NY",14609
"18","135 E 28TH STREET","NEW YORK","NY",10016
"19","1440 STEUBEN ST #","UTICA","NY",13501
"20","2264 WANTAGH AVE","WANTAGH","NY",11793
"21","6514 14TH AVE 1ST FL","BROOKLYN","NY",11219
"22","69-01 QUEENS BLVD","WOODSIDE","NY",11377
"23","2717 S PARK AVE","LACKAWANNA","NY",14218
"24","4510 18TH AVE","BROOKLYN","NY",11204
"25","400 W MORRIS ST","BATH","NY",14810
"26","4718 4TH AVE","BROOKLYN","NY",11220
"27","266 EAST 143RD ST","BRONX","NY",10451
"28","1009 FOSTER AVE","BROOKLYN","NY",11230
"29","1421 NOSTRAND AVE","BROOKLYN","NY",11226
"30","758 W 181ST ST","NEW YORK","NY",10033
"31","661 RIVER ROAD","SCHENECTADY","NY",12306
"32","4671 STE HWY 68","OGDENSBURG","NY",13669
"33","1683 1ST AVE","NEW YORK","NY",10128
"34","228 BROOK AVE","BRONX","NY",10454
"35","33-14 30TH AVE","ASTORIA","NY",11103
"36","299 MYRTLE AVE","BROOKLYN","NY",11205
"37","3660 BROADWAY","NEW YORK","NY",10031
"38","1299 FRANKLIN AVE","BRONX","NY",10456
"39","219 W 100TH ST 3RD STORE","NEW YORK","NY",10025
"40","2865 HARWAY AVE","BROOKLYN","NY",11214
